Title,Edition,Publisher,Publication Place,Publication Country,"Full Text
(combined)
First","Full Text
(combined)
Last","Full Text
(combined)
Gaps","Scholarly / Peer-
Reviewed","Full Text
First","Full Text
Last","Full Text
Gaps","Full
Text - PDF
First","Full
Text - PDF
Last","Full
Text - PDF
Gaps",Embargo Days,"Cit/Abs
(combined)
First","Cit/Abs
(combined)
Last","Cit/Abs
(combined)
Gaps","Other
Formats First","Other
Formats Last","Other
Formats Gaps","Peer-
Reviewed",Pub Type,Pub Language,Notes and Changes
Manitoba Business,,Manitoba Business,Winnipeg,Canada,01-Feb-1985,01-Jan-2009,01-Nov-1990--01-Dec-1991,N,01-Feb-1985,01-Jan-2009,01-Nov-1990--01-Dec-1991,01-Jul-2002,01-Jan-2009,,,01-Jan-1982,01-Jan-2009,01-Nov-1990--01-Dec-1991,,,,N,Trade Journals,English,
Manotick/Winchester EMC,,Postmedia Network Inc.,"Manotick, Ont.",Canada,03-Apr-2009,08-Sep-2016,,N,03-Apr-2009,08-Sep-2016,,,,,,03-Apr-2009,08-Sep-2016,,,,,N,Newspapers,English,
Mansbridge One on One,,Canadian Broadcasting Corporation,Toronto,Canada,21-Nov-2009,02-Jul-2017,,N,21-Nov-2009,02-Jul-2017,,,,,,21-Nov-2009,02-Jul-2017,,,,,N,Other Sources,English,
Maple Creek & Southwest Advance Times,,Postmedia Network Inc.,"Maple Creek, Sask.",Canada,05-Jan-2017,Current,,N,05-Jan-2017,Current,,,,,1,05-Jan-2017,Current,,,,,N,Newspapers,English,
Maple Creek News,,Postmedia Network Inc.,"Maple Creek, Sask.",Canada,12-Jan-2017,Current,,N,12-Jan-2017,Current,,,,,1,12-Jan-2017,Current,,,,,N,Newspapers,English,
"Maple Ridge, Pitt Meadows Times",,Postmedia Network Inc.,"Maple Ridge, B.C.",Canada,28-May-2002,27-Oct-2016,,N,28-May-2002,27-Oct-2016,,,,,,28-May-2002,27-Oct-2016,,,,,N,Newspapers,English,
Markham Economist & Sun,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Markham, Ont.",Canada,10-Feb-2003,Current,,N,10-Feb-2003,Current,,,,,,10-Feb-2003,Current,,,,,N,Newspapers,English,
The Mayerthorpe Freelancer (Online),,Postmedia Network Inc.,Mayerthorpefreelancer,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--10-Feb-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--10-Feb-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--10-Feb-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Mayerthorpe Freelancer,,Postmedia Network Inc.,Mayerthorpe,Canada,18-May-2011,23-Aug-2023,,N,18-May-2011,23-Aug-2023,,,,,,18-May-2011,23-Aug-2023,,,,,N,Newspapers,English,
Meaford Express,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Meaford, Ont.",Canada,26-Jan-2010,13-Apr-2023,01-Jan-2018--31-Dec-2022,N,26-Jan-2010,13-Apr-2023,01-Jan-2018--31-Dec-2022,,,,,26-Jan-2010,13-Apr-2023,01-Jan-2018--31-Dec-2022,,,,N,Newspapers,English,
The Medicine Hat News,,Postmedia Network Inc.,"Medicine Hat, Alta.",Canada,26-Jan-2017,Current,,N,26-Jan-2017,Current,,,,,1,26-Jan-2017,Current,,,,,N,Newspapers,English,
Melfort Journal,,Postmedia Network Inc.,Melfort,Canada,17-May-2011,24-Jul-2019,,N,17-May-2011,24-Jul-2019,,,,,,17-May-2011,24-Jul-2019,,,,,N,Newspapers,English,
Melfort Journal (Online),,Postmedia Network Inc.,Melfort,Canada,14-May-2015,Current,16-Apr-2021--21-Mar-2022,N,14-May-2015,Current,16-Apr-2021--21-Mar-2022,,,,1,14-May-2015,Current,16-Apr-2021--21-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Merritt Herald,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Merritt, B.C.",Canada,,,,N,,,,,,,,04-Aug-2004,12-Sep-2013,,,,,N,Newspapers,English,
The Mid-North Monitor (Online),,Postmedia Network Inc.,Espanola,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 15-Apr-2021--16-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 15-Apr-2021--16-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 15-Apr-2021--16-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Mid-North Monitor,,Postmedia Network Inc.,Espanola,Canada,13-Mar-2013,Current,,N,13-Mar-2013,Current,,,,,1,13-Mar-2013,Current,,,,,N,Newspapers,English,
The Midland - Penetanguishene Mirror,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Midland, Ont.",Canada,17-Feb-2003,Current,,N,17-Feb-2003,Current,,,,,,17-Feb-2003,Current,,,,,N,Newspapers,English,
The Midweek Banner,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Orangeville, Ont.",Canada,04-Feb-2000,Current,08-Jun-2005--25-Apr-2012,N,04-Feb-2000,Current,08-Jun-2005--25-Apr-2012,,,,,04-Feb-2000,Current,08-Jun-2005--25-Apr-2012,,,,N,Newspapers,English,
Miramichi Leader,,Postmedia Network Inc.,"Miramichi, N.B.",Canada,11-Apr-2008,Current,,N,11-Apr-2008,Current,,,,,1,11-Apr-2008,Current,,,,,N,Newspapers,English,
Mission City Record,,Black Press Group Ltd.,"Mission, B.C.",Canada,05-Aug-2004,04-Apr-2022,,N,05-Aug-2004,04-Apr-2022,,,,,,05-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Mission Record,,Black Press Group Ltd.,"Mission, B.C.",Canada,14-Jan-2022,Current,,N,14-Jan-2022,Current,,,,,,14-Jan-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Mississauga News,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Mississauga, Ont.",Canada,02-Feb-2003,Current,,N,02-Feb-2003,Current,,,,,,02-Feb-2003,Current,,,,,N,Newspapers,English,
The Mitchell Advocate (Online),,Postmedia Network Inc.,West Perth,Canada,14-May-2015,Current,14-Apr-2021--15-Mar-2022,N,14-May-2015,Current,14-Apr-2021--15-Mar-2022,,,,1,14-May-2015,Current,14-Apr-2021--15-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Mitchell Advocate,,Postmedia Network Inc.,West Perth,Canada,29-Apr-2015,Current,,N,29-Apr-2015,Current,,,,,1,29-Apr-2015,Current,,,,,N,Newspapers,English,
Monday Magazine (Online),,Black Press Group Ltd.,Victoria,Canada,25-Jan-2023,Current,,N,25-Jan-2023,Current,,,,,,25-Jan-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Le Monde,,La Société Editrice du Monde,Paris,France,01-Jan-2001,Current,,N,01-Jan-2001,Current,,,,,,01-Jan-2001,Current,01-Jan-2015--31-Dec-2016,,,,N,Newspapers,French,
Le Monde Diplomatique,French ed.,La Société Editrice du Monde,,France,,,,N,,,,,,,,01-Jan-2011,01-Sep-2020,,,,,N,Newspapers,French,
Montage,,Directors Guild of Canada,Toronto,Canada,,,,N,,,,,,,,01-Jul-2002,01-Oct-2014,01-Jan-2013--31-Dec-2013,,,,N,Magazines,English,
Montreal Gazette,,Postmedia Network Inc.,"Montreal, Que.",Canada,02-Jan-1985,Current,,N,02-Jan-1985,Current,,,,,1,02-Jan-1985,Current,01-Jan-2019--31-Dec-2022,,,,N,Newspapers,English,
The Montreal Gazette (Online),,Postmedia Network Inc.,Montreal,Canada,30-Nov-2017,Current,,N,30-Nov-2017,Current,,,,,1,30-Nov-2017,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Moose Jaw Times Herald,,CNW Group Ltd.,"Moose Jaw, Sask.",Canada,29-Jul-1999,06-Dec-2017,01-Jan-2009--31-Dec-2009,N,29-Jul-1999,06-Dec-2017,01-Jan-2009--31-Dec-2009,,,,,29-Jul-1999,06-Dec-2017,01-Jan-2009--31-Dec-2009,,,,N,Newspapers,English,
The Morden Times,,Postmedia Network Inc.,Morden,Canada,01-Dec-2011,07-May-2020,,N,01-Dec-2011,07-May-2020,,,,,,01-Dec-2011,07-May-2020,,,,,N,Newspapers,English,
The Morning Star (Online),,Black Press Group Ltd.,North Okanagan,Canada,14-Jun-2021,Current,,N,14-Jun-2021,Current,,,,,,14-Jun-2021,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Morning Star,,Black Press Group Ltd.,"Vernon, B.C.",Canada,01-Aug-2004,04-Apr-2022,,N,01-Aug-2004,04-Apr-2022,,,,,,01-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
The Mountaineer,,Postmedia Network Inc.,"Rocky Mountain House, Alta.",Canada,24-Mar-2009,Current,,N,24-Mar-2009,Current,,,,,1,24-Mar-2009,Current,,,,,N,Newspapers,English,
The Muskoka Sun,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Bracebridge, Ont.",Canada,14-Oct-2011,06-Jun-2013,,N,14-Oct-2011,06-Jun-2013,,,,,,14-Oct-2011,06-Jun-2013,,,,,N,Newspapers,English,
MuskokaRegion.com,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Muskoka,Canada,21-Oct-2023,Current,,N,21-Oct-2023,Current,,,,,,16-Jun-2021,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Muskokan,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Bracebridge, Ont.",Canada,14-Oct-2011,27-Jul-2023,01-Jan-2021--31-Dec-2021,N,14-Oct-2011,27-Jul-2023,01-Jan-2021--31-Dec-2021,,,,,14-Oct-2011,27-Jul-2023,01-Jan-2017--31-Dec-2017; 01-Jan-2021--31-Dec-2021,,,,N,Newspapers,English,
MyKawartha.com,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Toronto,Canada,23-Aug-2023,Current,,N,23-Aug-2023,Current,,,,,,22-Aug-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
NNSL Media (web site),,Northern News Services Limited,Yellowknife,Canada,30-Nov-2022,Current,,N,30-Nov-2022,Current,,,,,,30-Nov-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Nanaimo Daily News,,Postmedia Network Inc.,"Nanaimo, B.C.",Canada,14-Oct-1998,29-Jan-2016,,N,14-Oct-1998,29-Jan-2016,,,,,,14-Oct-1998,29-Jan-2016,,,,,N,Newspapers,English,
Nanaimo News Bulletin,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Nanaimo, B.C.",Canada,03-Aug-2004,04-Apr-2022,,N,03-Aug-2004,04-Apr-2022,,,,,,03-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Nanaimo News Bulletin (Online),,Black Press Group Ltd.,Nanaimo,Canada,30-Apr-2022,Current,,N,30-Apr-2022,Current,,,,,,30-Apr-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Nanton News (Online),,Postmedia Network Inc.,Nanton,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--17-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--17-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--17-Mar-2022,,,,N,Newspapers,English,
The Nanton News,,Postmedia Network Inc.,Nanton,Canada,11-May-2011,23-Aug-2023,,N,11-May-2011,23-Aug-2023,,,,,,11-May-2011,23-Aug-2023,,,,,N,Newspapers,English,
The Napanee Guide (Online),,Postmedia Network Inc.,Napanee,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 05-Apr-2021--15-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 05-Apr-2021--15-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 05-Apr-2021--15-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Napanee Guide,,Postmedia Network Inc.,Napanee,Canada,30-Apr-2015,07-May-2020,,N,30-Apr-2015,07-May-2020,,,,,,30-Apr-2015,07-May-2020,,,,,N,Newspapers,English,
The National - CBC Television,,Canadian Broadcasting Corporation,Toronto,Canada,04-Sep-1995,Current,,N,04-Sep-1995,Current,,,,,,04-Sep-1995,Current,,,,,N,Other Sources,English,
National Post,,Postmedia Network Inc.,"Don Mills, Ont.",Canada,27-Oct-1998,Current,,N,27-Oct-1998,Current,,,,,1,27-Oct-1998,Current,01-Jan-2018--31-Dec-2024,,,,N,Newspapers,English,
National Post (Online),,Postmedia Network Inc.,Toronto,Canada,28-Nov-2017,Current,,N,28-Nov-2017,Current,,,,,1,28-Nov-2017,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Nelson Daily News,,Postmedia Network Inc.,"Nelson, B.C.",Canada,09-Nov-1999,16-Jul-2010,,N,09-Nov-1999,16-Jul-2010,,,,,,09-Nov-1999,16-Jul-2010,,,,,N,Newspapers,English,
Nelson Star (Online),,Black Press Group Ltd.,Nelson,Canada,14-Oct-2021,Current,,N,14-Oct-2021,Current,,,,,,14-Oct-2021,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Nepean Barrhaven EMC,,Postmedia Network Inc.,"Nepean, Ont.",Canada,03-Apr-2009,11-Jan-2018,,N,03-Apr-2009,11-Jan-2018,,,,,,03-Apr-2009,11-Jan-2018,,,,,N,Newspapers,English,
New Hamburg Independent,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","New Hamburg, Ont.",Canada,08-Sep-1999,Current,19-Nov-2008--26-May-2010,N,08-Sep-1999,Current,19-Nov-2008--26-May-2010,,,,,08-Sep-1999,Current,19-Nov-2008--26-May-2010,,,,N,Newspapers,English,
The News (Online),,Black Press Group Ltd.,Abbotsford,Canada,22-Dec-2020,Current,,N,22-Dec-2020,Current,,,,,,22-Dec-2020,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The News (Online),,Black Press Group Ltd.,Maple Ridge,Canada,09-Feb-2023,Current,,N,09-Feb-2023,Current,,,,,,09-Feb-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The News : Esquimalt,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Victoria, B.C.",Canada,04-Aug-2004,20-Jul-2007,,N,04-Aug-2004,20-Jul-2007,,,,,,04-Aug-2004,20-Jul-2007,,,,,N,Newspapers,English,
The News Advertiser,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Ajax, Ont.",Canada,05-Oct-2003,Current,,N,05-Oct-2003,Current,,,,,,05-Oct-2003,Current,,,,,N,Newspapers,English,
The News,,Black Press Group Ltd.,"Abbotsford, B.C.",Canada,03-Aug-2004,04-Apr-2022,,N,03-Aug-2004,04-Apr-2022,,,,,,03-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
The News,,Black Press Group Ltd.,"Maple Ridge, B.C.",Canada,04-Aug-2004,12-May-2020,,N,04-Aug-2004,12-May-2020,,,,,,04-Aug-2004,12-May-2020,,,,,N,Newspapers,English,
News/North,,Northern News Services Limited,Yellowknife,Canada,20-Mar-2023,Current,,N,20-Mar-2023,Current,,,,,,20-Mar-2023,Current,,,,,N,Newspapers,English,
Niagara Falls Review,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Niagara Falls, Ont.",Canada,01-Feb-1999,Current,01-Jan-2007--31-Dec-2017,N,01-Feb-1999,Current,01-Jan-2007--31-Dec-2017,,,,,01-Feb-1999,Current,01-Jan-2007--31-Dec-2017,,,,N,Newspapers,English,
Niagara This Week,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Thorold, Ont.",Canada,17-Sep-2004,Current,,N,17-Sep-2004,Current,,,,,,17-Sep-2004,Current,,,,,N,Newspapers,English,
Niagara-on-the-Lake Advance,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Niagara-on-the-Lake, Ont.",Canada,12-Sep-2013,Current,,N,12-Sep-2013,Current,,,,,,12-Sep-2013,Current,01-Jan-2017--31-Dec-2017,,,,N,Newspapers,,
NiagaraThisWeek.com (Online),,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Niagara,Canada,23-Aug-2023,Current,,N,23-Aug-2023,Current,,,,,,23-Aug-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Nipawin Journal,,Postmedia Network Inc.,Nipawin,Canada,18-May-2011,24-Jul-2019,,N,18-May-2011,24-Jul-2019,,,,,,18-May-2011,24-Jul-2019,,,,,N,Newspapers,English,
Nipawin Journal (Online),,Postmedia Network Inc.,Nipawin,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--16-Feb-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--16-Feb-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--16-Feb-2022,,,,N,"Blogs, Podcasts, & Websites",English,
North Bay Nipissing News,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Huntsville,Canada,22-Nov-2023,Current,,N,22-Nov-2023,Current,,,,,,28-Oct-2021,Current,,,,,N,Newspapers,English,
North Bay Nugget,,Postmedia Network Inc.,"North Bay, Ont.",Canada,02-Jan-1999,Current,,N,02-Jan-1999,Current,,,,,1,02-Jan-1999,Current,,,,,N,Newspapers,English,
The North Bay Nugget (Online),,Postmedia Network Inc.,North Bay,Canada,14-May-2015,Current,18-Apr-2021--28-Mar-2022,N,14-May-2015,Current,18-Apr-2021--28-Mar-2022,,,,1,14-May-2015,Current,18-Apr-2021--28-Mar-2022,,,,N,Newspapers,English,
North Delta Reporter (Online),,Black Press Group Ltd.,North Delta,Canada,07-May-2021,Current,,N,07-May-2021,Current,,,,,,07-May-2021,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
North Island Gazette,,Black Press Group Ltd.,"Alert Bay, B.C.",Canada,03-Aug-2004,04-Apr-2022,,N,03-Aug-2004,04-Apr-2022,,,,,,03-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
North Island Gazette (Online),,Black Press Group Ltd.,Port Hardy,Canada,03-Jan-2019,Current,,N,03-Jan-2019,Current,,,,,,03-Jan-2019,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
North Island Midweek,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Campbell River, B.C.",Canada,07-Aug-2004,06-Apr-2015,,N,07-Aug-2004,06-Apr-2015,,,,,,07-Aug-2004,06-Apr-2015,,,,,N,Newspapers,English,
North Oakville Today,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Oakville, Ont.",Canada,21-Sep-2011,19-Jul-2013,,N,21-Sep-2011,19-Jul-2013,,,,,,21-Sep-2011,19-Jul-2013,,,,,N,Newspapers,English,
North Shore News,,Postmedia Network Inc.,"North Vancouver, B.C.",Canada,19-Aug-2001,Current,,N,19-Aug-2001,Current,,,,,1,19-Aug-2001,Current,,,,,N,Newspapers,English,
The North Shore Outlook,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","North Vancouver, B.C.",Canada,,,,N,,,,,,,,05-Aug-2004,20-Mar-2014,,,,,N,Newspapers,English,
North Thompson Journal,,Black Press Group Ltd.,"Barriere, B.C.",Canada,02-Aug-2004,02-Apr-2022,,N,02-Aug-2004,02-Apr-2022,,,,,,02-Aug-2004,02-Apr-2022,,,,,N,Newspapers,English,
North Thompson Star/Journal (Online),,Black Press Group Ltd.,Barriere,Canada,16-Mar-2023,Current,,N,16-Mar-2023,Current,,,,,,16-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The North Thompson Times,,Black Press Group Ltd.,Clearwater,Canada,16-Mar-2023,Current,,N,16-Mar-2023,Current,,,,,,16-Mar-2023,Current,,,,,N,Newspapers,English,
The North York Mirror,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","North York, Ont.",Canada,01-Jun-2003,29-Dec-2023,,N,01-Jun-2003,29-Dec-2023,,,,,,01-Jun-2003,29-Dec-2023,,,,,N,Newspapers,English,
NorthBayNipissing.com (Online),,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Toronto,Canada,14-Nov-2023,Current,,N,14-Nov-2023,Current,,,,,,03-Sep-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Northeast Sun,,Postmedia Network Inc.,Melfort,Canada,20-May-2011,01-Jan-2021,,N,20-May-2011,01-Jan-2021,,,,,,20-May-2011,10-Jun-2022,,,,,N,Newspapers,English,
Northern Journal,,Alberta Weekly Newspapers Association,"Fort Smith, Alta.",Canada,21-Apr-2009,02-Mar-2016,,N,21-Apr-2009,02-Mar-2016,,,,,,21-Apr-2009,02-Mar-2016,,,,,N,Newspapers,English,
The Northern Light,,Postmedia Network Inc.,"Bathurst, N.B.",Canada,10-Jun-2008,Current,,N,10-Jun-2008,Current,,,,,1,10-Jun-2008,Current,,,,,N,Newspapers,English,
Northern News This Week,,Postmedia Network Inc.,"Kirkland Lake, Ont.",Canada,02-Jan-2002,Current,,N,02-Jan-2002,Current,,,,,1,02-Jan-2002,Current,,,,,N,Newspapers,,
Northern Ontario Business,,Northern Ontario Business,Sudbury,Canada,01-Jan-2002,01-Jan-2020,,N,01-Jan-2002,01-Aug-2006,,01-Jul-2002,01-Jan-2020,,,01-Jan-1984,01-Jan-2020,01-Nov-1990--01-Dec-1991; 01-Nov-1999--01-Dec-2001; 01-Sep-2006--01-Oct-2008,,,,N,Trade Journals,English,
Northern Sentinel (Online),,Black Press Group Ltd.,Kitimat,Canada,16-Mar-2023,Current,,N,16-Mar-2023,Current,,,,,,16-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Northern Sentinel,,Black Press Group Ltd.,"Kitimat, B.C.",Canada,04-Aug-2004,03-Apr-2022,,N,04-Aug-2004,03-Apr-2022,,,,,,04-Aug-2004,03-Apr-2022,,,,,N,Newspapers,English,
The Northern Times (Online),,Postmedia Network Inc.,Kapuskasing,Canada,14-May-2015,10-Jul-2018,,N,14-May-2015,10-Jul-2018,,,,,,14-May-2015,10-Jul-2018,,,,,N,"Blogs, Podcasts, & Websites",English,
The Northern Times,,Postmedia Network Inc.,Kapuskasing,Canada,10-Dec-2015,26-Jul-2018,,N,10-Dec-2015,26-Jul-2018,,,,,,10-Dec-2015,26-Jul-2018,,,,,N,Newspapers,English,
The Northern View (Online),,Black Press Group Ltd.,Prince Rupert,Canada,07-Jun-2017,Current,01-Jan-2018--31-Dec-2021,N,07-Jun-2017,Current,01-Jan-2018--31-Dec-2021,,,,,07-Jun-2017,Current,01-Jan-2018--31-Dec-2021,,,,N,"Blogs, Podcasts, & Websites",,
Northumberland News,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Cobourg, Ont.",Canada,07-Apr-2000,Current,27-May-2006--25-Jan-2010,N,07-Apr-2000,Current,27-May-2006--25-Jan-2010,,,,,07-Apr-2000,Current,27-May-2006--25-Jan-2010,,,,N,Newspapers,English,
Norwich Gazette,,Postmedia Network Inc.,Norwich,Canada,18-May-2011,11-Jul-2018,,N,18-May-2011,11-Jul-2018,,,,,,18-May-2011,11-Jul-2018,,,,,N,Newspapers,English,
Norwich Gazette (Online),,Postmedia Network Inc.,Norwich,Canada,14-May-2015,16-Jul-2018,,N,14-May-2015,16-Jul-2018,,,,,,14-May-2015,16-Jul-2018,,,,,N,Newspapers,English,
Nothing is Foreign,,Canadian Broadcasting Corporation,Toronto,Canada,02-Mar-2023,22-Jun-2023,,N,02-Mar-2023,22-Jun-2023,,,,,,02-Mar-2023,22-Jun-2023,,,,,N,Other Sources,English,
Oak Bay News,,Black Press Group Ltd.,"Victoria, B.C.",Canada,31-Dec-1969,04-Apr-2022,01-Jan-1970--31-Dec-2003,N,31-Dec-1969,04-Apr-2022,01-Jan-1970--31-Dec-2003,,,,,31-Dec-1969,04-Apr-2022,01-Jan-1970--31-Dec-2003,,,,N,Newspapers,English,
Oak Bay News (Online),,Black Press Group Ltd.,Victoria,Canada,15-Feb-2021,Current,,N,15-Feb-2021,Current,,,,,,15-Feb-2021,Current,,,,,N,Newspapers,English,
Oakville Beaver,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Oakville, Ont.",Canada,25-Jun-2003,Current,,N,25-Jun-2003,Current,,,,,,25-Jun-2003,Current,,,,,N,Newspapers,English,
Observer,,Postmedia Network Inc.,"Sarnia, Ont.",Canada,21-May-1999,Current,01-Jan-2016--31-Dec-2017,N,21-May-1999,Current,01-Jan-2016--31-Dec-2017,,,,1,21-May-1999,Current,01-Jan-2016--31-Dec-2017,,,,N,Newspapers,English,
Omineca Express,,Black Press Group Ltd.,"Vanderhoof, B.C.",Canada,04-Aug-2004,04-Apr-2022,,N,04-Aug-2004,04-Apr-2022,,,,,,04-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Omineca Express (Online),,Black Press Group Ltd.,Vanderhoof,Canada,16-Mar-2023,Current,,N,16-Mar-2023,Current,,,,,,16-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Orillia Today,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Orillia, Ont.",Canada,17-Feb-2003,Current,,N,17-Feb-2003,Current,,,,,,17-Feb-2003,Current,,,,,N,Newspapers,English,
Orleans EMC,,Postmedia Network Inc.,"Orleans, Ont.",Canada,03-Apr-2009,11-Jan-2018,,N,03-Apr-2009,11-Jan-2018,,,,,,03-Apr-2009,11-Jan-2018,,,,,N,Newspapers,English,
Ottawa Business Quarterly,,Pegasus Publishing Inc.,Ottawa,Canada,01-Jan-1992,01-Jul-1995,01-Jan-1993--31-Dec-1993,N,01-Jan-1992,01-Jul-1995,01-Jan-1993--31-Dec-1993,,,,,01-Jan-1987,01-Jul-1995,01-Jan-1993--31-Dec-1993,,,,N,Trade Journals,English,
The Ottawa Citizen (Online),,Postmedia Network Inc.,Ottawa,Canada,30-Nov-2017,Current,,N,30-Nov-2017,Current,,,,,1,30-Nov-2017,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Ottawa Citizen,,Postmedia Network Inc.,"Ottawa, Ont.",Canada,03-Sep-1985,Current,,N,03-Sep-1985,Current,,,,,1,03-Sep-1985,Current,01-Jan-2019--31-Dec-2022,,,,N,Newspapers,English,
Ottawa East EMC,,Postmedia Network Inc.,"Ottawa, Ont.",Canada,03-Apr-2009,11-Jan-2018,,N,03-Apr-2009,11-Jan-2018,,,,,,03-Apr-2009,11-Jan-2018,,,,,N,Newspapers,English,
Ottawa South EMC,,Postmedia Network Inc.,"Ottawa, Ont.",Canada,03-Apr-2009,11-Jan-2018,,N,03-Apr-2009,11-Jan-2018,,,,,,03-Apr-2009,11-Jan-2018,,,,,N,Newspapers,English,
The Ottawa Sun (Online),,Postmedia Network Inc.,Ottawa,Canada,14-May-2015,Current,,N,14-May-2015,Current,,,,,1,14-May-2015,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Ottawa Sun,,Postmedia Network Inc.,Ottawa,Canada,28-Apr-2007,Current,,N,28-Apr-2007,Current,,,,,1,28-Apr-2007,Current,,,,,N,Newspapers,English,
Ottawa West EMC,,Postmedia Network Inc.,"Ottawa, Ont.",Canada,03-Apr-2009,11-Jan-2018,,N,03-Apr-2009,11-Jan-2018,,,,,,03-Apr-2009,11-Jan-2018,,,,,N,Newspapers,English,
Ottawa this Week,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Nepean, Ont.",Canada,21-Sep-2011,21-Jun-2013,,N,21-Sep-2011,21-Jun-2013,,,,,,21-Sep-2011,21-Jun-2013,,,,,N,Newspapers,English,
